year,id,player_name,pos,draft_projection,athleticism_score,size_score,production_score,ngs_score
2008,32194d4f-5216-6910-dfa4-f433a2baab02,Josh Morgan,WR,,,,,80.8598171767914
2008,32195349-5470-2706-f85d-a6996bdc0f7c,Josh Sitton,OT,,,,,
2008,3219464f-5253-0271-6c4c-2ad6d0a98d97,Justin Forsett,RB,,,,,50
2008,32194841-5226-7861-c1e4-c92309c5bfe6,Justin Harper,WR,,,,,50
2008,32194b49-4e55-2129-e33d-e3a650fd1760,Justin King,CB,,,,,
2008,32194d43-4b47-2866-1307-fea293128869,Justin McKinney,CB,,,,,
2008,32195459-5246-0013-225c-181e196c363e,Justin Tryon,CB,,,,,
2008,32194d43-5236-7962-8c84-b20111872814,Kalvin McRae,RB,,,,,52.9275894166493
2008,32194d4f-4f44-5539-2792-65cbc31ee809,Kareem Moore,DB,,,,,
2008,32194255-5276-9332-ba57-a8dc7cc5abae,Keenan Burton,WR,,,,,65.8671571893158
2008,32195249-5657-6418-eda6-698d4d1da835,Keith Rivers,LB,,,,,
2008,32195a49-4e23-7309-334a-d4a7f644ff12,Keith Zinger,TE,,,,,
2008,32194441-5650-0592-541c-e088bee1dd90,Kellen Davis,TE,,,,,
2008,32194c41-4e55-3691-4133-7a8b61a2fa89,Kendall Langford,DT,,,,,
2008,3219434f-5845-5897-bb73-69ba0dd842b1,Kennard Cox,CB,,,,,
2008,32194957-4508-8990-1cb7-1e502723403a,Kenny Iwebema,DE,,,,,
2008,32194d4f-4f45-7565-7d55-c1d95901a481,Kenny Moore,WR,,,,,68.1845747199575
2008,32195048-4940-3361-b2ef-250bef09ee4c,Kenny Phillips,FS,,,,,
2008,32194241-4c74-8542-7cc7-2311c60e9929,Kentwan Balmer,DE,,,,,
2008,32194f43-4f19-3317-63b2-abb709fe7839,Kevin O'Connell,QB,,,,,73.3456745940576
2008,3219524f-4259-3216-4940-a861bebb469d,Kevin Robinson,WR,,,,,50
2008,3219534d-4946-1535-9404-0eadb4d0524e,Kevin Smith,RB,,,,,91.778050802223
2008,32194455-4e47-6836-235a-1b4faeb17e3b,King Dunlap,OT,,,,,
2008,32194241-5278-9697-83ae-d72f57fb3c09,Kirk Barton,OT,,,,,
2008,32194b41-5002-7685-2a7b-f70bfd997535,Kolo Kapanui,TE,,,,,
2008,32194c49-4331-1468-1b55-90ead8377877,Kory Lichtensteiger,OG,,,,,
2008,32194c55-4d35-2996-76cf-c0deb98441c5,Kregg Lumpkin,RB,,,,,51.7751504750302
2008,32194249-4571-2400-1b18-f0972714b0de,Kroy Biermann,DE,,,,,
2008,32195752-4950-1019-6374-85c29015db00,Kyle Wright,QB,,,,,50
2008,3219434f-4842-7244-b925-072df610fe5d,Landon Cohen,DE,,,,,
2008,32194752-4145-5821-728c-cf15ca135a9f,Larry Grant,OLB,,,,,
2008,32194841-5744-2308-e04d-95f8d0f9fdb3,Lavelle Hawkins,WR,,,,,54.7424895982942
2008,32194a41-4333-9314-1b60-e30bb4633ff0,Lawrence Jackson,DE,,,,,
2008,32194d43-4b22-4554-4bd4-ed760354bf67,Leodis McKelvin,CB,,,,,
2008,32194755-4972-3790-60c5-5b5ab79b3836,Letroy Guion,DT,,,,,
2008,32194849-4c72-0361-6c8a-1e9b311b4cad,Lex Hilliard,RB,,,,,62.7098851351104
2008,32195357-4504-1051-86b5-5fd6b9797da3,Limas Sweed,WR,,,,,50
2008,3219444f-5428-3736-bbbd-f5988445b5ac,Lionel Dotson,DE,,,,,
2008,32195341-4d00-1878-ab38-33be4b291106,Lorne Sam,WR,,,,,56.5581155035733
2008,3219484f-4c60-5338-cd9f-cd75f00b0e01,Louis Holmes,DE,,,,,
2008,32194245-5218-0672-69a9-3118a61c0a8c,Mackenzy Bernadeau,OG,,,,,
2008,32194b45-4c69-1432-1f80-23b30a00a698,Malcolm Kelly,WR,,,,,78.4431666619459
2008,32194449-5846-1446-7573-17e67e95be67,Marcus Dixon,DE,,,,,
2008,32194752-4922-7298-6ea5-d73b43e66117,Marcus Griffin,FS,,,,,
2008,32194841-5260-5647-495d-d460ac23b1c8,Marcus Harrison,DT,,,,,
2008,32194845-4e62-5212-53bb-b5ddfc98d10b,Marcus Henry,WR,,,,,56.1175805072671
2008,3219484f-5730-3673-e41d-236dd3ac0c47,Marcus Howard,DE,,,,,
2008,32194d4f-4e23-5653-d562-c5e448bc070e,Marcus Monk,WR,,,,,50
2008,3219534d-4950-1275-12c0-f3eede540a3f,Marcus Smith,WR,,,,,62.4279743450112
